# fleet_aco 2026-09-21 16:03:35  carriers 240, targets 298
# model F0 +200.8 KB 2.59 KX 1.81 QD 3.01 sel(-3.93,-1.54)  (calib rmse 54 kg, R2 0.47)
# alpha 1.0 beta 2.0 rho 0.1 ants 96 gens 150 nmax 14 depth 38 breakeven 0.0369
gen 105  best  12.323  eliteMean  12.749  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [99 s]
gen 106  best  12.311  eliteMean  12.630  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [100 s]
gen 107  best  12.333  eliteMean  12.503  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [100 s]
gen 108  best  12.360  eliteMean  12.708  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [101 s]
gen 109  best  12.333  eliteMean  12.492  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [102 s]
gen 110  best  12.315  eliteMean  12.573  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [102 s]
gen 111  best  12.326  eliteMean  12.528  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [103 s]
gen 112  best  12.326  eliteMean  12.514  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [104 s]
gen 113  best  12.361  eliteMean  12.682  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [104 s]
gen 114  best  12.341  eliteMean  12.483  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [105 s]
gen 115  best  12.328  eliteMean  12.567  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [106 s]
